Start Date,Assets,Weights
2022-10-21,"UPRO, TECS, EEM, SOXL, TMF, EPI, YCS, EWZ, VOO, UUP, DBC, SHY, ERX, TECL, SPXS, TQQQ, EFA, SOXS, VIXY, EUO, UVXY, UCO, TMV, SQQQ, AGG","0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 100.0%, 0%, 0%"
2022-10-17,"UPRO, TECS, EEM, SOXL, TMF, EPI, YCS, EWZ, VOO, UUP, DBC, SHY, ERX, TECL, SPXS, TQQQ, EFA, SOXS, VIXY, EUO, UVXY, UCO, TMV, SQQQ, AGG","0%, 0%, 0%, 100.0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%"
2022-10-13,"UPRO, TECS, EEM, SOXL, TMF, EPI, YCS, EWZ, VOO, UUP, DBC, SHY, ERX, TECL, SPXS, TQQQ, EFA, SOXS, VIXY, EUO, UVXY, UCO, TMV, SQQQ, AGG","0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 100.0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%"
2022-10-11,"UPRO, TECS, EEM, SOXL, TMF, EPI, YCS, EWZ, VOO, UUP, DBC, SHY, ERX, TECL, SPXS, TQQQ, EFA, SOXS, VIXY, EUO, UVXY, UCO, TMV, SQQQ, AGG","100.0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%"
2022-10-10,"UPRO, TECS, EEM, SOXL, TMF, EPI, YCS, EWZ, VOO, UUP, DBC, SHY, ERX, TECL, SPXS, TQQQ, EFA, SOXS, VIXY, EUO, UVXY, UCO, TMV, SQQQ, AGG","0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 100.0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%"
2022-10-07,"UPRO, TECS, EEM, SOXL, TMF, EPI, YCS, EWZ, VOO, UUP, DBC, SHY, ERX, TECL, SPXS, TQQQ, EFA, SOXS, VIXY, EUO, UVXY, UCO, TMV, SQQQ, AGG","0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 100.0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%"
2022-10-06,"UPRO, TECS, EEM, SOXL, TMF, EPI, YCS, EWZ, VOO, UUP, DBC, SHY, ERX, TECL, SPXS, TQQQ, EFA, SOXS, VIXY, EUO, UVXY, UCO, TMV, SQQQ, AGG","0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 100.0%, 0%, 0%"
2022-10-03,"UPRO, TECS, EEM, SOXL, TMF, EPI, YCS, EWZ, VOO, UUP, DBC, SHY, ERX, TECL, SPXS, TQQQ, EFA, SOXS, VIXY, EUO, UVXY, UCO, TMV, SQQQ, AGG","0%, 0%, 0%, 100.0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%"
2022-09-30,"UPRO, TECS, EEM, SOXL, TMF, EPI, YCS, EWZ, VOO, UUP, DBC, SHY, ERX, TECL, SPXS, TQQQ, EFA, SOXS, VIXY, EUO, UVXY, UCO, TMV, SQQQ, AGG","0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 100.0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%"
2022-09-29,"UPRO, TECS, EEM, SOXL, TMF, EPI, YCS, EWZ, VOO, UUP, DBC, SHY, ERX, TECL, SPXS, TQQQ, EFA, SOXS, VIXY, EUO, UVXY, UCO, TMV, SQQQ, AGG","0%, 0%, 0%, 100.0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%"
